id,dc.contributor.author[],dc.title[en_US],dc.abstract[en_US],dc.format.extent[],dc.type[en_US],dc.identifier.uri[]
5307836,"Allert, Heidrun||Richter, Christoph||Nejdl, Wolfgang",Extending the Scope of the Current Discussion on Metadata Towards Situated Models,The use of standardized metadata for describing educational resources is one of the ongoing issues in the field of computer-supported learning. While we face an extension from describing learning objects to the annotation of learning services current standards for educational metadata still focus on instructionalism at the cost of neglecting collaborative and cooperative aspects of learning. Therefore it becomes important to rethink the concepts underlying current standards of educational metadata. In this paper we propose a data model that allows to describe resources that might be used for learning purposes with respect to diverse learning theories including those which are relevant in the field of CSCL.,pp. 353-362,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/AllertRN03
5307837,"Allmendinger, Katrin||Troitzsch, H.||Hesse, Friedrich W.||Spada, Hans",Nonverbal Signs in Virtual Environments,"Some nonverbal signals, like gestures, are not available in computer-supported communication based on audio and textual messages. Therefore computer-supported collaborative learning (CSCL) is subjected to restrictions concerning the process of communication. The effects of nonverbal signs and their relevance in collaborative virtual environments are reported. An experimental study was performed to investigate the effects of the availability of nonverbal signs on the communication process, performance measures and subjective ratings regarding the 3D virtual environment and the communication. Differences concerning objective communication variables, such as number of interruptions, did not reach the level of statistical significance. Providing nonverbal signs in collaborative virtual environments, however, leads to higher motivation and a smoother communication process. The results are discussed with regard to CSCL applications.",pp. 431-440,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/AllmendingerTHS03
5307838,"Amelsvoort, Marije van||Andriessen, Jerry",Comparing Graphical and Textual Preparation Tools for Collaborative Argumentation-Based Learning,"In our research, part of a European project named SCALE1 , we study the effects of graphical and textual preparation tools on the quality of interaction in computer-supported collaborative argumentation-based learning. Students in upper secondary education had to discuss a topic in pairs, and write a collaborative argumentative text in an electronic environment. This was preceded by an individual phase in which students read information, and represented their individual opinion on the topic either in a text or in a diagram. These individual products were available for inspection during the collaborative phase. We study the way students broaden and deepen the space of debate on this topic.",pp. 5-9,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/AmelsvoortA03
5307839,"Anderson, Richard J.||Anderson, Ruth E.||VanDeGrift, Tammy||Wolfman, Steven A.||Yasuhara, Ken",Promoting Interaction in Large Classes with Computer-Mediated Feedback,"Eliciting student participation in large college classes is notoriously difficult yet critical to learning. This paper describes a design experiment with a computer-mediated feedback system for promoting class interaction called the Classroom Feedback System (CFS). We delineate specific challenges to interaction and propose design principles to address them. CFS realizes these principles and establishes a computer-mediated channel for student-initiated feedback. Students position preset annotations (e.g., MORE EXPLANATION, GOT IT) directly on the lecture slides. CFS anonymizes the annotations and presents them to the instructor in real time. Successive experiments with paper and electronic prototypes validated our design and guided iterative refinement. Evidence from a large lecture study using the feedback system suggests that CFS increases levels of student-instructor interaction and addresses specific challenges to interaction.",pp. 119-123,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/AndersonAVWY03
5307840,"Ayala, Gerardo",Towards Lifelong Learning Environments: Agents Supporting the Collaborative Construction of Knowledge in Virtual Communities,"In this paper we present a framework for collaborative environments that support lifelong learning based on agent technologies, according to the requirements for these environments. We define a lifelong learning environment as an Internet based environment that supports self-directed, generative and intentional learning, where software elements assist the learner in planning her/his learning activities, in order to meet changing society demands, supporting her/him to collaborate in the social construction of knowledge in a virtual community. We discuss the design and implementation of CAS SIEL, a prototype of a lifelong learning environment developed based on the theory of knowledge creation by Nonaka and Takeuchi (Nonaka, 95). We present how this theory of knowledge creation in learning organizations, from the area of knowledge management, is suitable for constructing virtual communities of practice. We present how software agents support the diverse types of awareness required and allows the social construction of knowledge, based on a theory of knowledge management, proposing the design issues for lifelong learning environments on the Internet.",pp. 141-149,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Ayala03
5307841,"Baggetun, Rune||Dragsnes, Steinar",Designing Pedagogical Agents for CSCL,"This paper presents an approach to incorporating agent software technology in our developed, shared collaborative Mindmap software. We start by discussing our theoretical influences, before we describe our approach to designing and implementing the agent into the Mindmap. Then we present some of the most interesting findings derived from a formative usability test of an agent prototype. This test was conducted to investigate how the agent impacted on students working together to solve a joint problem. The findings gave us some useful feedback about how agents can support distributed collaborative learning, and also some suggestions for future work.",pp. 151-155,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/BaggetunD03
5307842,"Baker, Michael J.||Quignard, Matthieu||Lund, Kristine||Séjourné, Arnauld",Computer-Supported Collaborative Learning in the Space of Debate,"Cutting across the common distinction between learning to argue and arguing to learn, this research is concerned with arguing to learn argumentative knowledge, or broadening and deepening understanding of the space of debate. A secondary school experiment compared broadening/deepening of understanding of the space of a debate on genetically modified organisms, using either a CHAT tool, or else an argument-diagram tool (DREW: Dialogical Reasoning Educational Web tool) that was designed as a medium for interactive debate. Although there was no significant difference between the quality of students’ texts before and after debating across the conditions, a new interaction analysis method (“Rainbow”) revealed differences in students’ expression and elaboration of arguments.",pp. 11-20,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/BakerQLS03
5307843,"Basu, Anindita||Cavallo, David",Full-Contact Poetry,"Full-Contact Poetry is a collaborative digital play space written in Squeak, which allows children to express their poetic thoughts, create their interpretations of writing by others and share and critique these expressions. In this paper, we discuss the design principles and implementation of the Full-Contact Poetry environment. We then describe preliminary results from a workshop with a group of adolescents using the environment. The technology opened a new form of expression to the teenagers participating in the workshop. Collaboration was necessary to define full-contact poetry, but did not occur in the way expected with the technology. Participants drew from personal experience and examples to create a new genre of poetic expression.",pp. 281-285,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/BasuC03
5307844,"Beck, Robert J.||Fitzgerald, William J.||Pauksztat, B.",Individual Behaviors and Social Structure in the Development of Communication Networks of Self-Organizing Online Discussion Groups,"Four preservice teachers’ online discussion groups of eight randomly assigned participants each were studied to analyze the contribution of individual and social factors in the development of communication networks. Participants shared observations and follow-up responses in five weekly rounds of data collection. Using a core-periphery social network analysis model, distinctive core and periphery sub-groups were found in each of the four listservs. As measured through quality assessments of individual observational messages, mean quality was higher in each of the core groups, but results were statistically non-significant. An asymmetric hypothesis, that periphery members sent more messages to the core than vice versa, was supported by data in three groups. Early submission of observations was highly correlated with number of messages received. Fitting the core-periphery model to data from three cumulative time periods, T1, T3, and T5, for each listserv, allowed us to check for consistency in group dynamics over time. For each listserv, it was found that the communications data progressively achieved a better fit with a core-periphery model.",pp. 313-322,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/BeckFP03
5307845,"Beuschel, Werner",From Face-to-Face to Virtual Space,"While issues of formal communication for day-to-day learning tasks have been well investigated, the need for informal communication and its proper support by learning environments has been undervalued in instructional and technical design. Starting from constructivist theory, the paper expands the background for informal aspects towards the concepts of self-organization and awareness in learning processes. The discussion ponders the apparent paradox of spontaneous action versus preconceived infrastructure and suggests some constructive guidelines.",pp. 229-238,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Beuschel03
5307846,"Caeiro, Manuel||Anido-Rifón, Luis E.||Llamas, Martín",A Critical Analysis of IMS Learning Design,"The objective of the IMS Learning Design specification is to provide a containment framework of elements that can describe any design of a teaching-learning process in a formal way. The proposed specification is pedagogically neutral and provides a means for defining diverse learning designs (e.g.: collaborative learning, problem-based learning, blended learning). Regardless of the pedagogy involved, in practice every learning design comes to: a Method prescribing various Activities for learner and academic staff Actors in a certain order. We agree with this proposal, but we have found some deficiencies and limitations in the way these elements are described. Considering ideas and solutions of the Activity Theory (AT) and the Workflow Management Systems (WFMS) domain we propose alternative structures to describe the Activity and Method parts of this specification.",pp. 363-367,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/CaeiroAL03
5307847,"Cao, Yang||Greer, Jim E.",Supporting Awareness to Facilitate Collaborative Learning in an Online Learning Environment,"WWW technologies provide great facilities for online learning environments but cannot address the problem of the feeling of being alone due to the lack of mechanisms to support awareness to facilitate collaborative learning. In addition, a number of interesting research questions, such as how to deal with different users’ needs about awareness and how to cope with changing interests also need to be answered. This paper introduces a framework built in a multi-agent learning environment that helps learners acquire awareness information based on their needs and changing interests. This framework also provides a platform for investigating concerns over user privacy caused by awareness technologies.",pp. 183-187,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/CaoG03
5307848,"Chan, Carol K. K.||Aalst, Jan van",Assessing and Scaffolding Knowledge Building: Pedagogical Knowledge Building Principles and Electronic Portfolios,This paper explores the design of knowledge building portfolios in assessing and scaffolding collaborative knowledge building. We sought (a) to examine how knowledge building portfolios can characterize and assess both individual and collective aspects of knowledge building; and (b) to investigate the roles of knowledge-building portfolios in fostering students’ conceptual understanding. The key design feature involves asking students to identify exemplary notes in the database illustrating collaborative knowledge building guided by four pedagogical knowledge building principles. We illustrate the design with results from two studies involving a graduate course in education and a Form 6 (Grade 12) course in physical geography. The results indicate that knowledge building portfolio scores are related to other knowledge building measures; and students producing knowledge building portfolios performed better than comparison students on conceptual understanding.,pp. 21-30,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/ChanA03
5307849,"Dai, James||Wu, Mike||Cohen, Jonathan||Klawe, Maria M.",Primeclimb: Designing to Facilitate Mediated Collaborative Inquiry,"We present the design of a two-player mathematical problem solving environment for 12 and 13 year old children. The system was explicitly designed to facilitate social collaboration by incorporating principles of Mediated Collaborative Inquiry, socio-cultural theory and theories of group interaction. We demonstrate that it is possible to incorporate these social theories of collaboration into learning environments in very specific ways through aspects of system design. These principles guide the physical setup within the classroom environment, the design of the activity and resources, and the progression of challenge within the activity.",pp. 31-35,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/DaiWCK03
5307850,"Dolonen, Jan||Chen, Weiqin||Mørch, Anders I.",Integrating Software Agents with FLE3,"This paper presents an approach to integrating a software agent with FLE3 – a distributed CSCL environment. We discuss two complementary ways the agent system can present feedback to the users (students and instructors). On the one hand, the agent system identifies possible problems and gives advice to each student based on principles of collaboration and knowledge building. On the other, it computes statistics for viewing and presents possible problems and advice to the instructor which the instructor can use to engage in a dialog with the students.",pp. 157-161,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/DolonenCM03
5307851,"Drie, Jannet van||Boxtel, Carla A. M. van||Erkens, Gijsbert||Kanselaar, Gellof",Supporting Historical Reasoning in CSCL,"In this paper we focus on how features of a CSCL environment can elicit and support domain specific reasoning and more specifically historical reasoning. The CSCL environment we use, enables students to collaborate on a historical inquiry task and in writing an argumentative text. In order to support historical reasoning we compared two representational tools: a graphical representation (argumentative diagram) and a linear representation (argument list). As it is assumed that an argumentative diagram can support both cognitive and interaction processes, we expected that using this tool would result in more qualitative historical reasoning, in the chat as well as in the text. However, the results of this study did not show a significant difference in the amount and type of historical reasoning between the two conditions. A possible explanation can be found in the way the students make use of the tool while executing the task.",pp. 93-102,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/DrieBEK03
5307852,"Fiehn, T.||Lauer, Tobias||Lienhard, Jochen||Ottmann, Thomas||Trahasch, Stephan||Zupancic, Bernd",From Lecture Recording Towards Personalized Collaborative Learning,"This paper describes our work in progress of using recorded live lectures as the basis for collaborative learning. The approach supports both the personalization of documents through annotation and the sharing of such notes to stimulate structured discussions anchored directly at the relevant content objects in the multimedia documents. Furthermore, we show how student-authored multimedia documents combined with anchored discussion can be used for peer assessment.",pp. 471-475,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/FiehnLLOTZ03
5307853,"Fischer, Frank||Bouillion, Lisa||Mandl, Heinz||Gomez, Louis M.",Scientific Principles in Pasteur&apos;s Quadrant: Integrating Goals of Understanding and Use in Learning Environment Research,"In this contribution, we focus on how to integrate goals of use and goals of understanding within learning environment research. We do this in taking existing methodologies as our starting point. The central questions are: What methodologies do we have to examine complex phenomena within learning environments? How can the field meet the dual challenge of contributing to theory and practice? And to what extent and in what ways do existing methodologies reflect principles of scientific research? In pursuing these questions, we outline the principles of scientific research proposed by the National Research Council (2001). Then we apply these principles in an analysis of two prototypical methodologies that respond to the challenge of examining complex phenomena related to learning environments in situated practice. These methodologies are design research and the integrative research paradigm. These methodologies converge along some lines while differ on others. The focus of our comparative analysis is to articulate the underlying assumptions of these methodologies, to reconsider currently depicted dichotomies, and to develop a common language of principles for use-inspired basic research. As conclusions, three tasks are defined for future research practice: (1) becoming more explicit on method in scientific contributions, (2) specifying scientific standards for the field of complex learning environment research, and (3) developing complementary practical impact standards.",pp. 493-502,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/FischerBMG03
5307854,"Gaßner, Katrin||Jansen, Marc||Harrer, Andreas||Herrmann, Kai||Hoppe, Heinz Ulrich",Analysis Methods for Collaborative Models and Activities,A classification of analysis methods for CSCL systems is presented which uses as one dimension the distinction into summary analysis and structural analysis and as another distinction different types of raw data: either user actions or state descriptions. The Cool Modes environment for collaborative modeling enables us to explore the whole spectrum of analysis methods. Action logging is based on the MatchMaker communication server underlying Cool Modes. Example instances for several analysis methods have been implemented in the Cool Modes framework.,pp. 369-377,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/GassnerJHHH03
5307855,"Guribye, Frode||Andreassen, Eskil F.||Wasson, Barbara",The Organisation of Interaction in Distributed Collaborative Learning,"Organising interaction in distributed collaborative learning can impose a severe workload on the collaborating actors. The organisation of interaction is so complex, that collaborative efforts are just as much about understanding conditions for collaboration and co-ordinating work, as it is a matter of collaboratively constructing knowledge. Understanding and identifying what is required to organise distributed collaboration processes, is thus a key issue when analysing distributed collaborative learning. This paper identifies interactional processes and efforts that are constituent parts of such activities.",pp. 385-394,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/GuribyeAW03
5307856,"Haake, Jörg M.||Schümmer, Till",Some Experiences with Collaborative Exercises,"At the German Distance University, collaborative synchronous exercises are currently tested as a form of collaborative learning in the university’s virtual learning space. In this paper, we examine the impact of collaborative exercises on social contacts among distributed students. The main requirements of collaborative exercises in a distance learning university include support for preparation of exercises, learning group management, collaborative learning sessions, and learning management. We support such collaborative exercises in the FUB system by providing groupware tools for each phase of collaborative exercises. Results of two trials indicate that our approach works to some extent, and help to identify some needs for further improvement. The implications of our approach and our experiences for the design of the next generation of support for collaborative exercises are discussed.",pp. 125-134,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/HaakeS03
5307857,"Häkkinen, Päivi||Järvelä, Sanna||Mäkitalo, Kati",Sharing Perspectives in Virtual Interaction: Review of Methods of Analysis,"The aim of this paper is to describe the methodological solutions made in the studies that are part of the SHAPE research project. The SHAPE project investigates the quality and nature of virtual interaction in a higher education context. The study aims to find out variables that mediate the process of collaboration, particularly the emerging processes of sharing and constructing perspectives in virtual interaction. For conducting these studies we have developed various methods and models of analysis in order to gain better understanding of the process of collaboration in virtual interaction. In this paper, we will make a review of some of the SHAPE analysis methods used in the series of our studies.",pp. 395-404,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/HakkinenJM03
5307858,"Hodgson, Vivien||Zenios, Maria",Designing Networked Environments to Support Dialogical Learning,"This paper introduces an innovative model for developing and sustaining networked environments for geographically dispersed learners. The model is based on a post-disciplinary approach to knowledge and educational design that sees any field of study in terms of the people who work in the area and who are seen to be members of its knowledge community. Drawing on these ideas, the networked environment is built as a collection of hyperlinks of representations of the field by recognized members of the knowledge community. A key feature of the model is the support of asynchronous reflective discussion among participants enabled through online learning sets. The paper concludes by identifying the areas which apparently hinder the environment from becoming fully integrated within the overall design of the programme.",pp. 405-409,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/HodgsonZ03
5307859,"Hübscher-Younger, Teresa||Narayanan, N. Hari",Designing for Divergence,"Constructionist theories hold that learning will be deeper if students develop and share their own diverse understandings of a concept. College students are immersed in a community with its social norms, learning practices and an understanding of authority and the classroom contract. This situation makes it difficult for the students to have diverse understandings of a concept. This paper addresses how this affects the nature and diversity of representations students create for collaborative learning, and their perceptions of the quality of representations created by their peers. We redesigned and deployed a CSCL system with the goals of facilitating learning by leveraging students’ current collaborative learning practices and changing their perceptions of authority. We present summary results from two studies, which are part of an ongoing research program investigating these questions. In prior research we found that students have a strong sense of which style of representation is authoritative, and that this can lead to premature convergence and the suppression of alternative viewpoints. Results from the current studies indicate that creating, sharing and evaluating representations through a CSCL system improve learning. Furthermore, careful design of the CSCL system and learning activities can indeed lead to an increase in the diversity of created representations, avoiding some problems we saw previously with early convergence. However, authority still influences representational creation and evaluation. We revisit our design goals and recommendations in light of these results.",pp. 461-470,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Hubscher-Younger03
5307860,"Iacucci, Carlo||Pain, Helen||Lee, John",Practices of Collaborative Authoring with Video Episodes,"In this paper we explored collaborative re-use of educational video. The focus is on how to design supporting media in relation to how users jointly constructed a shared understanding of the tasks at hand. We explore the collaborative tasks of constructing collages using episodes of recorded speech, including tutorial dialogues and broadcast talk. The practices were devised, recorded and analysed both in digital environments such as Powerpoint, and in physical settings in which hard-paper snapshots embodied the video-clips. We report problems that emerge from such practices that relate to the open interpretation of the representations, and the need to rely on this to achieve active spectatorship. Our discussion relies on how users collaboratively conduct the tasks and appropriate the tools. This suggests some principles that address issues of designing support for collaborative learning in which digital video is used as a resource.",pp. 239-248,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/IacucciPL03
5307861,"Jensen, Nils||Seipel, Stefan||Nejdl, Wolfgang||Olbrich, Stephan",Covase: Collaborative Visualization for Constructivist Learning,"The paper specifies Covase, a software for teachers to create and view networked learning environments (VE). Students carry out virtual experiments in CoVASE, at the same time and from different places. They use the same tools and work on the same scientific problems as researchers do. Teachers create a motivating, demanding, and authentic interaction between learners and real-world problems, a premise for constructivist learning (CL). Covase generates and displays the result of a numerical simulation in parallel of its progress on distributed 3D graphic viewers, steered by users in real-time. VEs mediate communication between users, deictic elements, and display. Researchers and students have evaluated the predecessors of Covase with good results. A field study is planned for 2003.",pp. 249-253,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/JensenSNO03
5307862,"Kirschner, Paul A.||Bruggen, Jan van||Duffy, Tom",Validating a Representational Notation for Collaborative Problem Solving,The work reported here is an attempt to validate a representational notation for collaboratively solving problems. Using the notation an external representation of the argumentation underlying analysis and proposed solutions can be construed. As a first check on the applicability of the notation we analyzed dialogues of students (beginning experts in different areas) engaged in collaborative problem solving using a coding scheme based on the notation. The groups followed different problem solving approaches each leading to suboptimal solutions. We conclude with suggestions on how to adapt the notation to offer more process support.,pp. 163-172,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/KirschnerBD03
5307863,"Kirschner, Paul A.||Kreijns, Karel||Jochems, Wim M. G.",Measuring the Perceived Quality of Social Space in Distributed Learning Groups,The present study report on the successful construction and validation of a self-reporting Social Space Scale. The Social Space Scale and other measures were launched in three different distance education courses from the Open University of the Netherlands using two different computer-supported collaborative learning environments.,pp. 323-332,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/KirschnerKJ03
5307864,"Komis, Vassilis||Avouris, Nikolaos M.||Fidas, Christos",A Study on Heterogeneity During Realtime Collaborative Problem Solving,"This paper discusses the effect of learning material heterogeneity on real-time computersupported collaborative problem solving. A study has been contacted in the frame of an authentic educational activity in a Greek secondary school. The students involved were provided with sets of primitive resources of varying degrees of heterogeneity to be used during collaborative modelling activities. Analysis of students peer interaction and produced solutions revealed that, contrary to our expectations, the group with heterogeneous resources produced solutions of similar quality to that of the reference group that possessed homogeneous learning material, while they were more active, exchanged more messages, were involved in deeper discussions and overall collaborated in great extend. The reported findings can have implications in the design of education scenarios involving distance real-time collaboration.",pp. 411-420,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/KomisAF03
5307865,"Koschmann, Timothy||Zemel, Alan||Conlee-Stevens, Mindy||Young, Nata||Robbs, Julie||Barnhart, Amber",Problematizing the Problem,"Our interest is in methods used by participants in a Problem-based Learning (PBL) tutorial to recognize and mark a problem in shared understanding. We investigate how this is accomplished in a distributed meeting conducted via a chat interface. Doing so poses an interactional problem for participants and the sorts of solutions that they work out is our object of study here. We observe that a shared understanding becomes problematic through what we term a problematizing move. For an utterance to serve as a problematizing move, however, it must be followed by an uptake move on the part of one or more interlocutors. We argue that the methods members employ for problematizing problems are both important elements of what it means to do PBL and visible aspects of how learning itself is accomplished as a socially-organized practice.",pp. 37-46,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/KoschmannZCYRB03
5307866,"Lally, Vic||Laat, Maarten De",A Quartet in E,"This paper is a short report of a continuing international study that is investigating networked collaborative learning among an advanced community of learners engaged in a master’s programme in e-learning. The study is undertaking empirical work using content analysis (CA), critical event recall (CER) and social network analysis (SNA). The first two methods are employed in the work reported in this paper. We are particularly interested in knowledge creation among the participants as they engage in action research for their master’s work. At the same time, another underlying aim of the main study is to develop methodology, enrich theory and explore the ways in which praxis (theory informed tutoring and learning on the programme) and theory interact as we try to understand the complex processes of tutoring and learning. The paper reports some of the current findings of this work and discusses future prospects.",pp. 47-56,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/LallyL03
5307867,"Law, Nancy||Wong, Elaine",Developmental Trajectory in Knowledge Building: An Investigation,"Knowledge building is a collaborative process whereby a community intentionally advances the collective state of knowledge through a knowledge transforming discourse. Scardamalia (2002) described 12 characteristics that can be identified in knowledge building discourses, which can be used to evaluate how far a group engaging in collaborative work is actually engaging in knowledge building. This paper reports on the level of performance in relation to 10 of the knowledge building principles as observed in the collaborative discourse of students participating in a design experiment on collaborative knowledge building involving teachers and students from 5 secondary schools in Hong Kong. Altogether 250 students participated in a summer programme, working collaboratively in groups to work on a number of topics using an electronic platform, the Knowledge Forum®. Results indicate that there is a hierarchy of accessibility for the 12 knowledge building principles and that clustering can be observed in the development of these knowledge building characteristics.",pp. 57-66,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/LawW03
