id,dc.contributor.author[],dc.title[en_US],dc.abstract[en_US],dc.format.extent[],dc.type[en_US],dc.identifier.uri[]
5307868,"Louca, Loucas||Druin, Allison||Hammer, David M.||Dreher, D.",Students’ Collaborative use of Computer-Based Programming Tools in Science,This paper presents a small-scale study investigating the use of two different computer-based programming environments (CPEs) as modeling tools for collaborative science learning with fifth grade students. We analyze student work and conversations while working with CPEs using Contextual Inquiry. Findings highlight the differences in activity patterns between groups using different CPEs. Students using Stagecast Creator (SC) did twice as much planning but half as much debugging compared with students using Microworlds (MW). Students working with MW were using written code on the computer screen to communicate their ideas whereas students working with SC were using the programming language to talk about their ideas prior to any programming. We propose three areas for future research. (1) Exploring different types of communication styles as compared with the use of different CPEs. (2) Identifying students' nascent abilities for using CPEs to show functionality in science. (3) Further understanding CPEs’ design characteristics as to which may promote or hamper learning with models in science.,pp. 109-118,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/LoucaDHD03
5307869,"Ludvigsen, Sten R.||Mørch, Anders I.",Categorisation in Knowledge Building,"In this paper we explore how students talk and reason when they are exposed to a set of categories taken from scientific discourse. The scientific categories are built into a web-based discussion forum (FLE2) as part of a pedagogical and technological design. The scientific categories are based on the concepts of the progressive inquiry model for knowledge building. Sociocultural theory, with a focus on concepts like categories and prompting, is our theoretical framework. In the DoCTA NSS project we have used the progressive inquiry model to explore how the students use categories to collaboratively develop new understanding of a specific knowledge domain. Based on the theoretical framework and an empirical example, we argue that the progressive inquiry model — in its conceptual form — is too rationalistic for student knowledge building. We found that student knowledge building is task-specific and local oriented, rather than aimed at conceptual artefacts.",pp. 67-76,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/LudvigsenM03
5307870,"Madrazo, Leandro",SDR: Networking,"SDR: Networking is a web-based learning environment made up of three elements intimately related: 1. An open-ended theoretical framework, built up from ‘theory bits’ taken from different disciplines (gestaltung, graphic design, media, communication, architectural theory, philosophy, and computation) 2. Individual and collaborative exercises, designed for students to explore in a practical way the theoretical content. 3. A comprehensive web system, which provides the tools to carry out a variety of processes of knowledge construction collaboratively. Altogether, the interrelationship of these three elements gives rise to an innovative pedagogic methodology which can contribute to build up the model of the education in the information age: an interdisciplinary and participatory education resulting from the interweaving of content, methods and tools.",pp. 255-264,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Madrazo03
5307871,"Martínez-Monés, Alejandra||Fuente, P. de la||Dimitriadis, Yannis A.",Towards an XML-Based Representation of Collaborative Action,"Interaction analysis is a core function for the support of coaching and evaluation in CSCL. It relies on information captured from the actions performed by the participants during the collaborative process. This information includes data of distinct nature and format, which demands a flexible and standardised data representation, adaptable to different analytical perspectives and collaborative situations. Besides this, it is known that the correct interpretation of human action needs to take context into account. We propose in this paper our approach towards the definition of an XML-based representation of source data, which includes a description of the context of collaboration, and offers a common representation for data of different origin and nature. It is extensible, and independent of the subsequent data analysis methods to which it might be applied. The paper also discusses the possibilities and limitations of XML as a representation language.",pp. 379-383,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Martinez-MonesF03
5307872,"Moshaiov, Amiram",New Breed of Computer Supported Student Contests,"Information and communication technology provides a means for changing teaching methodologies, and at the same time creates a need for learning some new skills and knowledge. In this paper a generalisation and modification of a concept, which has recently been suggested for engineering design, is discussed. The uniqueness of the proposed new breed of computer supported student contests arises from assessing tele-collaboration as part of the competition scoring. Recent web based contests are observed indicating that some early birds of the new breed may already exists. In addition to outlining the suggested generic methodology and some of its’ pedagogical and computer supported aspects, initial research activities towards scientific assessment of students’ tele-collaboration are reported. It is concluded that the concept presented here provides not only new education alternatives, but also some research possibilities in areas such as sociology, education, and engineering.",pp. 135-139,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Moshaiov03
5307873,"Mulder, Ingrid||Graner, Mark||Swaak, Janine||Kessels, Joseph",Stimulating Questioning Behaviour,"In video communication, there seem to be no generally accepted habits that make questioning explicit, such as for instance explicit signals as hand raising or a time-out sign. Moreover, subtle signals often stay unnoticed. In the current work, we focus on improving people's natural questioning behaviour in video-based design teams. We performed a quasi-experimental study to investigate if either a questioning tool or a facilitator stimulated reflective behaviour and therefore stimulated learning and understanding. We compared twenty teams that performed a complex design task; ten of these teams had next to audio and video support a questioning tool available. Preliminary results showed that perceived shared understanding increased over time, and that teams with both a facilitator and the tool understood each other best, which was in line with our hypotheses. On the other hand, we found that teams with neither a facilitator and nor the questioning tool posed most questions.",pp. 421-430,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/MulderGSK03
5307874,"Nurmela, Kari||Palonen, Tuire||Lehtinen, Erno||Hakkarainen, Kai",Developing Tools for Analyzing CSCL Process,"The purpose of this paper is to describe methods for analyzing the CSCL process by using logfiles and other quantitative measures. We present methodological approaches that would help CSCL teachers, tutors and researchers to assess the participation activity and system level features of social interaction that take place during CSCL.",pp. 333-342,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/NurmelaPLH03
5307875,"Okada, Masaya||Yamada, Akimichi||Tarumi, Hiroyuki||Yoshida, Mizuki||Moriya, Kazuyuki",Digital-EE II: RV-Augmented Interface Design for Networked Collaborative Environmental Learning,"DigitalEE II (Digitally Enhanced Experience) is an online digital platform for networked collaborative environmental learning through multiple discussions among diverse people. The platform interconnects real and virtual worlds via a photo-realistic 3D spatial metaphor, and supports video- and voice-based interaction between real participants (participants in real nature) and virtual participants (participants at distant locations). Both participants share time, space, vision, experiences, and emotion between the two different worlds. We conducted experiments on DigitalEE II to verify voluntary environmental learning through interactive communication. The experiments found that the desire to fill information gap between real and virtual worlds stimulated various interactive communication and voluntary environmental observation. DigitalEE II made contribution toward raising participants’ interests in the environment and their awareness to nature. The platform provided the participants with opportunities of considering environmental preservation. This research introduced diverse computational technologies in environmental learning, and enlarged the field of application of CSCL techniques.",pp. 265-274,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/OkadaYTYM03
5307876,"Oostendorp, Herre van||Juvina, Ion",Role of Icons and Chat Boxes in Computer Supported Collaborative Learning,"This paper describes a study on collective problem solving and decision-reaching in a CSCL (computer supported collaborative learning) environment. More specifically, the research is concerned with the influence of adding chat boxes and making explicit the roles of participants by icons on problem solving and decision performance. Groups of three persons had to solve two different tasks, an intellective problem solving and a decision-reaching task. In the control condition the groups simply communicated through the bulletin board, in the experimental condition the system is enhanced with chat boxes and role identification icons. Communication and performance on the tasks are considered as dependent variables. The results of experimental manipulations are presented and a discussion about how chat boxes and role indications influence construction of an accurate shared mental model used in problem solving and decision reaching is included.",pp. 275-279,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/OostendorpJ03
5307877,"Pata, Kai||Sarapuu, Tago",Framework for Scaffolding the Development of Problem Representations by Collaborative Design,"For promoting the development of students’ problem representations by collaborative design the learning activity for the network-based synchronous environment Collaborative Virtual Workplace was designed. Two biology and chemistry related problem situations were presented to 21 biology and 18 chemistry class students of different schools. Students’ activity was scaffolded by an online tutor. The analogous problem situation was solved individually in the pre- and post-test. The process of design on whiteboard tool and the textual conversation on chat tool were recorded and the content was analysed from log-files. Based on the individuals’ external problem representations and the interactions recorded on whiteboards, the theoretical framework for the analysis of problem representations in science was created. According to this, the development of students’ problem representations must be supported on the dimensions of the ontological “objects” and “events” category components of mental models at the levels of everyday, scientific and scientific symbolic explanations. It was found that the collaborative modelling activity in the synchronous network environment caused the shift in students’ individual problem representations towards more complete and scientifically valid mental models.",pp. 189-198,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/PataS03
5307878,"Petrou, Argiro||Dimitracopoulou, Angelique","Is Synchronous Computer Mediated Collaborative Problem-Solving ‘Justified’ Only When by Distance? Teachers’ Points of Views and Interventions with CO-Located Groups, during Everyday Class Activities","Synchronous collaborative problem solving is usually examined for its learning potential, while it is often studied under experimental conditions. The present research aims at exploring synchronous computer mediated collaborative problem solving in real school context, with collocated students, in every day practice. This paper focus on teachers and the possibility offered to improve or empower their teaching approaches exploiting collaborative settings with minimum technological support. The analysis shows that this approach provides teachers with some new opportunities and especially concerning online/off-line students’ diagnosis during problem-solving.",pp. 441-450,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/PetrouD03
5307879,"Pol, Jakko van der||Admiraal, Wilfried||Simons, R.-J.",Grounding in Electronic Discussions: Standard (Threaded) Versus Anchored Discussion,"This paper identifies ‘grounding’ as an important process in asynchronous electronic meaning oriented discussions and tries to enhance and measure grounding activities, mutual understanding and the relevancy of messages. In this study, 190 first year students collaborated electronically with the goal of processing their literature together. Using a posttest only experimental design students were divided into a group that used a standard discussion board and one that used an annotation or ‘anchored discussion’ system. The used research instruments were: dialogue analysis, questionnaires and focus group interviews. Results will be analyzed and discussed in the light of the difference between the 2 conditions.",pp. 77-81,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/PolAS03
5307880,"Pöysä, Johanna||Mäkitalo, Kati||Häkkinen, Päivi",A Participant Experience Method for Illustrating Individuals’ Experiences in the Course of an Evolving Virtual Learning Community,"Early definitions of virtual learning communities often abstracted participants from their offline environments. However, often students’ virtual and physical environments are not essentially separated. Likewise, scholars should become more sensitive to and aware of their research principles and practices guiding studies in virtual settings and especially, in the intersections of on- and offline contexts. The participant experience method discussed in this paper, grants access also to the events outside the virtual learning context connecting various social settings and simultaneous events. However, the use of participant experience methods requires critical reflection during its various phases and levels of implementation. Firstly, during the fieldwork, the relationship between researcher and researched should be reflected and the representation and reconstruction of these, often intense, field experiences into the field texts should be focused on. Secondly, the process and the inquiry that moulds the field documents into the research account should be highlighted. In order to represent both the researchers’ voices and the voices of the other social actors from the field, a multi-voiced analysis implemented as a split-text narrative is proposed.",pp. 451-460,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/PoysaMH03
5307881,"Price, Sara||Rogers, Yvonne||Fraser, Danae Stanton||Smith, Hilary",A New Conceptual Framework for CSCL,"While traditional computer-supported learning environments (i. e. desktop PCs) have been show to promote collaboration they have been largely constrained by the confines of a classroom setting. With the influx of wireless technologies, new opportunities have been opened for designing novel computer-supported environments that support a wider range of collaborative interactions. For instance, collaboration can take on different forms, such as, adult-child collaboration or peer-peer collaboration, local or remote collaboration involving different forms of mobile communications. Moreover, depending on the type of collaboration, learners can experience a different kind of interaction, which can enable them to reflect in different ways. Using multiple collaborative interactions that facilitate diverse forms of reflection allows us to begin to explore the learning process in more detail. This paper presents a new conceptual framework for investigating and analysing how multiple collaborative interactions may support different forms of reflection. The framework is used here to analyse and inform the design of a novel mixed reality learning environment for children.
",pp. 513-522,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/PriceRFS03
5307882,"Puntambekar, Sadhana||Young, Michael F.",Moving Toward a Theory of CSCL,"In this paper we look across research projects and research perspectives to address the issue of theory-building in the context of CSCL. We propose that successful collaborative learning is a function of shared goals leading to a shared understanding. Shared understanding however, is mutually determined by factors such as the nature of the tool (e. g., CSILE), the context in which learning occurs and the role of the teacher/facilitator.",pp. 503-512,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/PuntambekarY03
5307883,"Ratto, Matt||Shapiro, R. Benjamin||Truong, Tan Minh||Griswold, William G.",The Activeclass Project: Experiments in Encouraging Classroom Participation,"Participation in the classroom has dropped precipitously in recent years. We describe the use of ActiveClass, an application for encouraging in-class participation using personal wireless devices. This system was used in three sections of two different lower division courses in computer programming at UCSD. Using a notion of ecology to develop our method of analysis, these settings provide a rich source of insight into technology-mediated learning and student activity. We find that a broadening of classroom discourse is possible if attention is paid to both political and material forces present in the classroom.",pp. 477-486,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/RattoSTG03
5307884,"Reffay, Christophe||Chanier, Thierry",How Social Network Analysis can help to Measure Cohesion in Collaborative Distance-Learning,"It has been argued that cohesion plays a central role in collaborative learning. In face-to-face classes, it can be reckoned from several visual or oral cues. In a Learning Management System or CSCL environment, such cues are absent. In this paper, we show that Social Network Analysis concepts, adapted to the collaborative distance-learning context, can help measuring the cohesion of small groups. Working on data extracted from a 10-week distance-learning experiment, we computed cohesion in several ways in order to highlight isolated people, active sub-groups and various roles of the members in the group communication structure. We argue that such processing, embodied in monitoring tools, can display global properties both at individual level and at group level and efficiently assist the tutor in following the collaboration within the group. It seems to be more appropriate than the long and detailed textual analysis of messages and the statistical distribution of participants’ contributions.",pp. 343-352,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/ReffayC03
5307885,"Reyes, Pablo||Tchounikine, Pierre",Supporting Emergence of Threaded Learning Conversations Through Augmenting Interactional and Sequential Coherence,"In this article, we propose a structure of threaded learning conversations taking place in virtual learning communities. This new structure aims at facilitating the emergence of learning conversations in these learning communities. These threaded conversations take place in a forum-type tool that uses a tree data structure composed of threads to organize group communication. We identify two situations which discourage the emergence of the learning conversations taking place in threaded based tools. We are interested in, namely “interactional incoherence” and “sequential incoherence”. For each of these identified drawbacks, we conceive mechanisms which intend to surmount these incoherencies: first, the localization of topics in a message, based on the “what you answer is what you link” criteria; and second, a visualization that allows merging in a single view the time order and the thread order of the messages. Finally, we present a tool based on these mechanisms and describe some preliminary results of its use.",pp. 83-92,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/ReyesT03
5307886,"Rummel, Nikol||Spada, Hans||Caspar, Franz||Ophoff, Jacques G.||Schornstein, Katrin",Instructional Support for Computer-Mediated Collaboration,"Support for collaboration in a computer-mediated setting was provided by instructionally promoting relevant collaborative competences. The two instructional measures investigated — learning by observing a worked-out collaboration example and learning from a scripted collaboration — were designed on the basis of a thorough analysis of what characterizes a good collaboration in the given scenario. To evaluate their effectiveness, an experiment was conducted. Not only the outcome of a subsequent collaboration and a posttest, but also the collaborative process itself were analyzed as dependent variables. The results give evidence of the potential of the two measures to promote collaborative competences. Compared to two control conditions, participants subsequently show a more sensible collaboration and achieve better results. This paper focuses on the results gained from process analyses of log-file data.",pp. 199-208,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/RummelSCOS03
5307887,"Säljö, Roger",Representational Tools and the Transformation of Learning,"Human learning, following Vygotsky, Dewey and others, is the appropriation and mastery of knowledge and skills that have accumulated in society. This ability to accumulate experiences over generations, and to communicate them in time and space, are two of the features that are so distinctive for the human species. A corollary of such a perspective on learning, and one that contrasts with most theoretical traditions, is that learning, and cognition in general, are historical phenomena subject to change in nature as the fabric of social practices changes, and as the mechanisms for storing and communicating information are transformed. Dewey recognised this sociohistorical contingency of cognition when pointing out that we have to rid ourselves “of the notion that “thinking” is a single, unalterable faculty” (1909/1997, p. 38). Already a hundred years ago, he argued in his vivid metaphorical language that “thinking is specific” and “not like a sausage machine which reduces all materials indifferently to one marketable commodity.” (p. 39).",pp. 1-2,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Saljo03
5307888,"Solheim, Ivar||Foyn, B.||Maus, E.",Solving Meno&apos; S Paradox: Task Semantics and Narratives in Multimediated Educational Environments,"This explorative paper discusses experiences from a multidisciplinary research project developing educational multimedia environments for project work in schools. The thematic point of departure is Meno’s paradox (from Plato’s dialogue Mend) which stands: how can you seek and learn something you know nothing of? And that is the paradox that meets the student who comes unassisted to an open-ended, multimediated educational environment. The paper focuses on the challenges for design and pedagogy in designing multimediated technological affordances for constructivist pedagogical settings in schools. The idea of pedagogical software narratives is discussed and related to experiences from field trials testing out software developed in the project. It is argued that integrated pedagogical narratives is not the only possible pedagogical solution to Meno’s paradox.",pp. 287-291,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/SolheimFM03
5307889,"Stahl, Gerry",Meaning and Interpretation in Collaboration,"Because collaborative learning takes place through processes of shared meaning-making, CSCL must be concerned with the nature of meaning and social meaning-making practices. Philosophic analysis suggests that meanings are necessarily shared; they persist in linguistic and physical artifacts in our culture and situation. However, these meanings must be interpreted by individuals. There is a dynamic relationship between shared meanings and individual interpretations: In order to engage in collaborative activities, people must come to recognize meanings of artifacts, and interpret these meanings from their own perspectives. The interplay between meaning and interpretation has implications for CSCL research methodology and for CSCL technology design.",pp. 523-532,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Stahl03
5307890,"Stanton, Danae||O&apos;Malley, Claire||Huing, K.||Fraser, Mike||Benford, Steve",Situating Historical Events Through Mixed Reality,"This paper examines the role of adults’ participation in a mixed reality experience in aiding children to discover, reason and reflect about historical places and events. An experience was developed which involved a paper-based ‘history hunt’ around a castle searching for clues about historical events that happened at the site. The clues involved people making drawings or rubbings on paper at a variety of locations. The paper was then electronically tagged and used to interact with a story tent. This consisted of a tarpaulin structure with projections on either side. A Radio Frequency ID tag reader and ultra violet light were positioned inside the tent. When placed on the tag reader, each paper clue revealed an historic 3D environment of the castle from the location at which the clue was found.’ secret writing’ revealed the story of a character at this location, while 2D images on the tent displayed corresponding scenes from this historical period. Visitors to the castle over 4 days took part in this experience. Video analysis of children and adults in the Storytent suggest that the quality of adult engagement reflects the extent to which children discover and make connections. The importance of these findings is discussed in relation to future design of mixed reality technologies to support collaborative learning.",pp. 293-302,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/StantonOHFB03
5307891,"Sugimoto, Masanori",How Sensing and Mobile Technologies can Enhance Collaborative Learning in Classrooms and Museums?,"We have so far developed several systems for supporting collaborative learning that are used and evaluated in classrooms and science museums. The underlying philosophy of these systems is that CSCL systems should raise the levels of learners’ motivation and participation in a learning situation. We believe that enhancing interactions among learners in a physical world is an effective way for supporting their learning. Recent development of sensing and mobile technologies allows us to devise new computational systems for enhancing such interactions. In this talk, we discuss about design and development issues of the CSCL systems in our projects.",pp. 3,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Sugimoto03
5307892,"Sugimoto, Masanori||Kusunoki, Fusako||Inagaki, Shigenori||Takatoki, Kuniyoshi||Yoshikawa, Atsushi",Epro2: Design of a System and a Curriculum to Support Group Learning for School Children,"So far, we have developed systems with a sense of play for supporting group learning. Through evaluations in elementary schools, we have found that enhancing authenticity while retaining a sense of play is critical for engaging children in their learning. Epro2, the system proposed in this paper, is used for learning about urban planning and environmental issues by integrating physical and virtual spaces. In Epro2, multiple sensing boards are placed in physically different locations and connected through a computer network. Physical towns are constructed by children on boards that are brought together in a virtual neighborhood, in such a way that they affect each other. Children in Epro2 not only design a town in a face-to-face setting, but also negotiate with other children located elsewhere through a chat system. We also designed a curriculum in cooperation with teachers, and evaluated the system in classrooms. Several lessons learned through the evaluations are described.",pp. 303-312,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/SugimotoKIT003
5307893,"Suthers, Daniel D.||Girardeau, Laura E.||Hundhausen, Christopher D.",Deictic Roles of External Representations in Face-to-Face and Online Collaboration,"This research explores how shared, learner-constructed representations serve as resources for conversation in face-to-face and online situations. An important role of shared representations in collaborative learning is to facilitate the ease of reference to previously introduced ideas. Complex ideas are more easily expressed when their component ideas can be indicated with simple gestures. Yet gesture does not have the same immediacy in typical online learning environments. We examined the extent to which gestural deixis is inhibited online, and how shared representations serve as conversational resources in other ways. Results show that gesture was almost never used online, and was partially replaced with verbal deixis and direct manipulation of the shared representation. Verbal deixis almost always referenced ideas already in the focus of attention, posing a potential problem for reflection on prior information. These results suggest the importance of better integration between communicative tools and shared representations and the inclusion of prompts for reflection.",pp. 173-182,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/SuthersGH03
5307894,"Ulicsak, Mary Helen",Group Skill Usage: The Accuracy and Impact of Self-Assessment and Feedback,"A group activity in a school has two aims: i) the participants gain domain knowledge or skills, and ii) the participants develop the skills needed to work in a team. These group skills, such as listening, taking turns, providing justification, are not instinctive and often cannot be accurately assessed by children. However, if used they improve the task performance and individual understanding. The CSCL system described raises awareness of actual and appropriate behaviour by reminding and scaffolding children aged 9 and 10 about group skills while performing a group activity. The system was based on existing training schemes, including procedural prompting, assigning roles, modelling exchanges, and giving feedback. This feedback, based on self-assessments, was found to correlate with the opinion of teachers observing the group activities. It was also found the majority of children who improved in group skill usage became more consistent when analysing their own behaviour in group activities.",pp. 209-218,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Ulicsak03
5307895,"Vamvakoussi, Xanthi||Kargiotakis, Georgios||Kollias, Vassilios P.||Mamalougos, Nektarios G.||Vosniadou, Stella",Collaborative Modelling of Rational Numbers,"In teaching mathematics, it is often assumed that new ideas about numbers will smoothly follow from prior ones. Therefore, teaching strategies aim at the enrichment of students’ prior knowledge about numbers. However, learning difficulties in the area suggest that, in certain cases, reorganisation of prior knowledge is required. Following the conceptual change paradigm we describe a CSCL environment designed to develop a deeper understanding of the structure of the set of rational numbers.",pp. 103-107,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/VamvakoussiKKMV03
5307896,"Wessner, Martin||Dawabi, Peter||Fernandez, Alejandro",Supporting Face-to-Face Learning with Handheld Devices,"Interaction and cooperation in traditional face-to-face learning situations is limited due to organisational and time constraints associated with the communication in class. This paper proposes a new approach to support and extend face-to-face learning scenarios by using a combination of handheld devices, an electronic blackboard, and cooperative software. Their usage enhances cooperation and interactivity among all students in the class by providing a set of specific tools to the teacher and the students, e. g. voting, quiz, or brainstorming. The approach is implemented in the ConcertStudeo system and tried out in a university course.",pp. 487-491,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/WessnerDF03
5307897,"Zumbach, Jörg||Reimann, Peter",Influence of Feedback on Distributed Problem Based Learning,"This research examines two different kinds of feedback-mechanism to scaffold problem solving as well as interaction in an asynchronous PBL course. An automated feedback mechanism has been used to enhance interaction and group well-being during computer supported collaborative learning. We tracked individual contribution behavior as well as learners’ motivation during collaborative problem-solving by means of an asynchronous communication platform. These data have been used to automatically generate visual aids, providing feedback about group members’ participation as well as motivational clues. A second feedback mechanism has been applied by aggregating learners’ problem solving discourse into a meta-document. This document revealed groups’ problem-solving strategies as well as their progress during different problem solving stages. We examined how this scaffolding methodology based on a group’s own behavior enhanced problem-solving outcomes. Results suggest positive influences of feedback mechanisms on problem-solving as well as motivational parameters.",pp. 219-228,Conference and Workshop Papers,https://dblp.org/rec/conf/cscl/Zumbach003